id,kind,latitude,longitude,depth,time,temperature,salinity,speed,chlorophyll
DEMO-ARGO-01,Argo,14.81,86.42,0,2026-09-07T00:00:00.000Z,29.99168,34.98749,0.37450,0.28040
DEMO-ARGO-01,Argo,14.81,86.42,10,2026-09-07T00:00:00.000Z,29.58205,35.00745,0.37816,0.36652
DEMO-ARGO-01,Argo,14.81,86.42,25,2026-09-07T00:00:00.000Z,28.63981,34.99416,0.37013,0.49761
DEMO-ARGO-01,Argo,14.81,86.42,50,2026-09-07T00:00:00.000Z,26.96055,34.95118,0.35026,0.66911
DEMO-ARGO-01,Argo,14.81,86.42,75,2026-09-07T00:00:00.000Z,25.25607,34.89622,0.32668,0.67887
DEMO-ARGO-01,Argo,14.81,86.42,100,2026-09-07T00:00:00.000Z,23.69107,34.85003,0.30587,0.51596
DEMO-ARGO-01,Argo,14.81,86.42,150,2026-09-07T00:00:00.000Z,21.31601,34.82711,0.28611,0.12773
DEMO-ARGO-01,Argo,14.81,86.42,200,2026-09-07T00:00:00.000Z,19.44790,34.83804,0.27720,0.01703
DEMO-ARGO-01,Argo,14.81,86.42,300,2026-09-07T00:00:00.000Z,16.42090,34.87312,0.26447,0.01581
DEMO-ARGO-01,Argo,14.81,86.42,500,2026-09-07T00:00:00.000Z,12.02550,34.91706,0.23529,0.02538
DEMO-ARGO-01,Argo,14.81,86.42,700,2026-09-07T00:00:00.000Z,9.30110,34.95354,0.20996,0.03276
DEMO-ARGO-01,Argo,14.81,86.42,1000,2026-09-07T00:00:00.000Z,6.78981,34.96370,0.16854,0.03493
DEMO-ARGO-01,Argo,14.81,86.42,1500,2026-09-07T00:00:00.000Z,4.81986,34.94238,0.10954,0.03102
DEMO-ARGO-01,Argo,14.81,86.42,2000,2026-09-07T00:00:00.000Z,3.88169,34.89749,0.06223,0.02261
DEMO-ARGO-02,Argo,12.5,68.6,0,2026-09-07T00:00:00.000Z,28.29735,36.25520,0.38172,0.28161
DEMO-ARGO-02,Argo,12.5,68.6,10,2026-09-07T00:00:00.000Z,27.52849,36.17062,0.37009,0.35770
DEMO-ARGO-02,Argo,12.5,68.6,25,2026-09-07T00:00:00.000Z,26.33877,36.04115,0.35038,0.48038
DEMO-ARGO-02,Argo,12.5,68.6,50,2026-09-07T00:00:00.000Z,24.66335,35.86762,0.32721,0.64802
DEMO-ARGO-02,Argo,12.5,68.6,75,2026-09-07T00:00:00.000Z,23.21093,35.72610,0.31003,0.66144
DEMO-ARGO-02,Argo,12.5,68.6,100,2026-09-07T00:00:00.000Z,22.07825,35.62756,0.30273,0.50827
